,text,value
0,18,4.276687696122258
1,apoyo,4.428721567168511
2,bolivia,9.759092640595444
3,boliviano,4.297325607026107
4,cariño,4.432997892939772
5,co,18.432524987095853
6,crisis,4.010142699558414
7,debatepresidencial,3.679681524030462
8,democracia,3.987688705427381
9,economía,3.86365156666875
10,económica,4.803793775315599
11,estabilidad,5.458065138833551
12,gobierno,3.9303208693996305
13,gracias,6.8289594364345945
14,hermanas,8.223368667950867
15,hermano,3.875022383939235
16,hermanos,8.51655853048111
17,https,18.432524987095853
18,jóvenes,3.5837846518163214
19,laramadavid,3.889473968512815
20,octubre,4.586249689450141
21,patria,4.708744277253291
22,país,3.8569242426222234
23,propuesta,3.3996881004879547
24,pueblo,9.927406845521611
25,recuperaremos,3.2754790524000423
26,social,4.050854990058619
27,vamosasaliradelante,14.953856178536386
28,victoria,4.0536177311945165
29,vivo,5.85667152740185
